id,question,answer_text,context,source,domain,split,question_type,no_of_hops,reasoning_type,span_start,span_end,evidence_relations
Novel-42f1975a,"According to the narrative's summary of Arthurian history, who was proclaimed king after the death of Uther Pendragon?",King Arthur was proclaimed king after Uther Pendragon.,King Arthur was proclaimed king after Uther Pendragon.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,54,
Novel-419cadfe,"Within the summary of Arthurian legend provided in the narrative, with whom did King Arthur engage in battle?",King Arthur fought with Mordred.,King Arthur fought with Mordred.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,32,
Novel-9e7500a0,"In the context of the Arthurian story as recounted in the narrative, which character fell in love with Ygrayne, leading to significant events in the legend?",Uther Pendragon fell in love with Ygrayne.,Uther Pendragon fell in love with Ygrayne.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,42,
Novel-bffd01c2,"In the novel's retelling of the end of King Arthur's story, who was the knight entrusted to throw the sword Excalibur into the mere?",Sir Bedevere threw Excalibur.,Sir Bedevere threw Excalibur.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,29,
Novel-ef451592,"Aside from Penolver, what other prominent feature is described as being near Housel Cove in the narrative?",Lizard Lights is near Housel Cove.,Lizard Lights is near Housel Cove.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-eab59fae,"According to the journey described in the narrative, in which county of England is the town of Marazion located?",Marazion is located in Cornwall.,Marazion is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,32,
Novel-61cf41ee,"During the journey through Cornwall, who is identified as the driver responsible for transporting the main party by carriage?",Charles is the driver of the carriage.,Charles is the driver of the carriage.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,38,
Novel-09d21113,"In the account of the road journey after passing through Penzance, to which location did Charles travel with the carriage?",Charles went to Whitesand Bay after passing through Penzance.,Charles went to Whitesand Bay after passing through Penzance.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,61,
Novel-1b7a0e02,"During the first evening at The Lizard, what did Charles call out excitedly upon seeing the lights, as described in the narrative?",Charles called out 'The Lizard Lights'.,Charles called out 'The Lizard Lights.',Novel-44557,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-752ca0c2,"In the context of the story's visit to Mullion, which individual did Mary Mundy express her admiration for?",Mary Mundy admired the Professor.,Mary Mundy admired the Professor.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,33,
Novel-4ae5ec38,"Within the travel narrative, in which English county is Whitesand Bay described as being located?",Whitesand Bay is located in Cornwall.,Whitesand Bay is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,37,
Novel-563587c2,"On the occasion of their outing described in the narrative, to which destination did the carriage ultimately travel?",The carriage went to Whitesand Bay.,The carriage went to Whitesand Bay.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,35,
Novel-6aaabde4,"Within the story's depiction of the Old Inn at Mullion, who is credited with writing a poem about Mary Mundy?",The Scotch Professor wrote a poem about Mary Mundy.,The Scotch Professor wrote a poem about Mary Mundy.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,51,
Novel-2e9466a9,"According to the journey through coastal villages described in the book, where is the fishing village of Cadgwith located?",Cadgwith is located in Cornwall.,Cadgwith is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,32,
Novel-d2746bf8,"During the visit to Mullion, who was mentioned as being considered the best ghost-layer in England?",Thomas Flavel was the best ghost-layer in England.,Thomas Flavel was the best ghost-layer in England.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,50,
Novel-75f181e8,"During the travelers' excursions from The Lizard, to which beach did Charles offer to drive the party for sightseeing and bathing?",Charles drove to Kennack Sands.,Charles drove to Kennack Sands.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,31,
Novel-de0767ce,"In the narrative's account of tea at the Old Inn, what specialty did Mary Mundy prepare for her guests?",Mary Mundy made clotted cream.,Mary Mundy made clotted cream.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,30,
Novel-d5c10dcf,"In the context of the Cornish journey, where is The Lizard, the southernmost point described in the narrative, located?",The Lizard is located in Cornwall.,The Lizard is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-85c57bc9,"In which Cornish village did Thomas Flavel serve as a reverend gentleman, as mentioned during the visit to the old church?",Thomas Flavel was a reverend gentleman in Mullion.,Thomas Flavel was a reverend gentleman in Mullion.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,50,
Novel-4196794d,"During the boating excursion described in the narrative, where did the young members of the party go after leaving the shore?",The young folks got into the boat.,The young folks got into the boat.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-51e5f06f,"After the sea-cave excursion near Church Cove, at what location was Charles waiting for the travelers' return?",Charles was waiting at the blacksmith's shop.,Charles was waiting at the blacksmith's shop.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,45,
Novel-e1aa3f36,"In the retelling of the Arthurian legend within the narrative, what was the relationship between Merlin and Uther Pendragon regarding counsel or advice?",Merlin advised Uther Pendragon.,Merlin advised Uther Pendragon.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,31,
Novel-83b8a631,"According to the narrative's account of Cornish coastal fauna, to which region is the sand-eel described as being peculiar?",The sand-eel is peculiar to the Cornish coast.,The sand-eel is peculiar to the Cornish coast.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,46,
Novel-2c702150,"Within the depiction of religious communities in the narrative, in which English county is the Methodist sect noted as being present?",The Methodist sect is in Cornwall.,The Methodist sect is in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-5bae1c96,"In the legends recounted in the narrative, who was condemned to the endless task of emptying Dozmare Pool?",Tregeagle was doomed to empty Dozmare Pool.,Tregeagle was doomed to empty Dozmare Pool.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,43,
Novel-a5c06d63,"Within the travelers' account of their route through Cornwall, in which county is Land's End, the furthest western point described in the story, located?",Land's End is located in Cornwall.,Land's End is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-4de99f79,"According to the Cornish folklore referenced in the narrative, where did the legendary figure Tregeagle have his dwelling?",Tregeagle had his dwelling in Cornwall.,Tregeagle had his dwelling in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,39,
Novel-ebb0af4d,"In the journey along the Cornish coastline, what notable location is described as being near Housel Cove?",Lizard is near Housel Cove.,Lizard is near Housel Cove.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,27,
Novel-8217a825,"According to the narrative's description of coastal towns, near which location is the town of Falmouth situated?",Falmouth is located near FLUSHING.,Falmouth is located near Flushing.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,34,
Novel-64042235,"During the traveler's route through Cornwall in the story, who is identified as having passed through the town of Penzance?",Charles passed through Penzance.,Charles passed through Penzance.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,32,
Novel-b4100b78,"Within the discussion of poetry in the narrative, who is credited with moralising the poem 'Maud'?",Tennyson is credited with moralising 'Maud'.,Tennyson is credited with moralising the poem 'Maud'.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-d2bac092,"In the geographical descriptions in the story, where is Whitesand Bay stated to be located?",Whitesand Bay is in Cornwall.,Whitesand Bay is in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,29,
Novel-eae5175c,"According to the narrative's overview of the region, what natural feature is described as being part of Cornwall?",The coast is part of Cornwall.,The coast is part of Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,30,
Novel-e416a392,"Within the description of regional resources in the narrative, where is slate identified as being found?",Slate is found in Delabole.,Slate is found in Delabole.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,27,
Novel-7d087b64,"From which prominent location was Roughtor visible, as experienced by the travelers during their visit to Cornwall?",Roughtor was visible from Land's End.,Roughtor was visible from Land's End.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,37,
Novel-1af03c49,"According to the narrative, which coastal destination does Cornwall include among its notable features?",Cornwall has Kynance.,Cornwall has Kynance.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,21,
Novel-2d5348fe,"In the travelers' exploration of historic sites, where is TINTAGEL, the legendary birthplace of King Arthur, located?",TINTAGEL is located in Cornwall.,TINTAGEL is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,32,
Novel-0dd6c56f,"In the context of hotel accommodations described in the narrative, where is the Falmouth Hotel located?",Falmouth Hotel is in Falmouth.,Falmouth Hotel is in Falmouth.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,0,30,
Novel-8ff5dd5a,"Within the context of Arthurian legend as discussed by the narrator in 'An Unsentimental Journey through Cornwall', what is the relationship between King Arthur and Sir Launcelot, and how is Sir Launcelot described in relation to King Arthur and the Knights of the Round Table?",Sir Launcelot was a knight of King Arthur and was one of the Knights of the Round Table.,Sir Launcelot was a knight of King Arthur. Sir Launcelot was one of the Knights of the Round Table.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-322bb52d,"According to the narrator's reflections in 'An Unsentimental Journey through Cornwall', how is King Arthur associated with the Land of Lyonesse, and what is said about his journey there?",King Arthur is associated with the Land of Lyonesse and was said to have sailed there.,King Arthur is associated with the Land of Lyonesse. King Arthur was said to have sailed to the Land of Lyonesse.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-35fee661,"In 'An Unsentimental Journey through Cornwall', the narrator encounters John Curgenven, a Cornish boatman known as the stroke-oar. In what way did King Arthur remind the narrator of John Curgenven, particularly with reference to the description of Arthur's face?","King Arthur reminded the narrator of John Curgenven because King Arthur was described as having a face like the stroke-oar, which was the name given to John Curgenven.",King Arthur reminded the narrator of John Curgenven. King Arthur was described as having a face like the stroke-oar. The stroke-oar is the name given to John Curgenven.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-ade4b34a,"In the narrative of 'An Unsentimental Journey through Cornwall', what is King Arthur's connection to Tintagel, and how is Tintagel described in relation to his legendary birth?","Tintagel is said to be the birthplace of King Arthur, and he is associated with Tintagel.",Tintagel is said to be the birthplace of King Arthur. King Arthur is associated with Tintagel.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-462ecc23,"In 'An Unsentimental Journey through Cornwall', why might Princess Frederica of Hanover be expected to visit St. Michael's Mount, particularly in connection with her visit to the St. Aubyns who reside there?",Because Princess Frederica of Hanover visited the St. Aubyns at St. Michael's Mount.,Princess Frederica of Hanover visited the St. Aubyns at St. Michael's Mount.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-4f5a8531,"How does the narrator in 'An Unsentimental Journey through Cornwall' compare Mont St. Michel in Normandy to St. Michael's Mount in Cornwall, and what similarities are noted between the two locations?",Mont St. Michel is similar to St. Michael's Mount.,Mont St. Michel is similar to St. Michael's Mount.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,0,50,
Novel-0e2be889,"What was Mary Mundy's relationship or attitude toward the Professor, as depicted during the narrator's visit to Mullion in 'An Unsentimental Journey through Cornwall'?",Mary Mundy admired the Professor and sends her duty to him.,Mary Mundy admired the Professor. Mary Mundy sends her duty to the Professor.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-0d237b40,"In the context of the narrator's travels in 'An Unsentimental Journey through Cornwall', how is Charles, the driver, associated with Mullion, and what role does he play in taking others to this location?",Charles would take others to Mullion.,Charles would take others to Mullion.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,0,37,
Novel-346b12e8,What is the relationship between St. Michael's Mount and Marazion?,St. Michael's Mount was opposite Marazion.,St. Michael's Mount was opposite Marazion.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,0,42,
Novel-302a626f,"How is John Curgenven, identified by the narrator as a Cornish boatman and stroke-oar, associated with the Lizard coast in 'An Unsentimental Journey through Cornwall'?",John Curgenven rows on the Lizard coast and is a Cornish boatman.,John Curgenven rows on the Lizard coast. John Curgenven is a Cornish boatman.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-e894a5f5,"In the travel narrative 'An Unsentimental Journey through Cornwall', how is the Devil's Frying-pan geographically related to the village of Cadgwith?",The Devil's Frying-pan is near Cadgwith.,The Devil's Frying-pan is near Cadgwith.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,0,40,
Novel-f473bcb0,"According to the discussion of Arthurian legend in 'An Unsentimental Journey through Cornwall', what is the connection between King Arthur and Excalibur, and what is said about Excalibur's fate involving Dozmare Pool?","King Arthur had Excalibur, which was thrown into Dozmare Pool.",King Arthur had Excalibur. Excalibur was thrown into Dozmare Pool.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-ade95016,"In the narrator's description of the Lizard in Cornwall, how is the sea characterized in relation to this coastal area, particularly regarding its frequent roughness?",The sea was often rough at the Lizard.,The sea was often rough at the Lizard.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,0,38,
Novel-8435c9f6,"What is the relationship between St. Rumon and Goonhilly Down as described in 'An Unsentimental Journey through Cornwall', including his activities of settling and building a cell and oratory there?",St. Rumon settled in Goonhilly Down and made a cell and oratory there.,St. Rumon settled in Goonhilly Down. St. Rumon made a cell in Goonhilly Down. St. Rumon made an oratory in Goonhilly Down.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-4124f00f,"How does 'An Unsentimental Journey through Cornwall' describe the association between King Arthur and Lyonesse, and what is said about the legendary location of Lyonesse off the coast of Cornwall?","King Arthur is associated with Lyonesse, which is said to be located off Cornwall.",King Arthur is associated with Lyonesse. Lyonesse is said to be located off Cornwall.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-fbc9e7ec,"In the context of 'An Unsentimental Journey through Cornwall', what connects the St. Aubyn family to St. Michael's Mount, and how are they described as both owners and residents of this distinctive location?",St. Aubyns own St. Michael's Mount and live on St. Michael's Mount.,St. Aubyns own St. Michael's Mount. St. Aubyns live on St. Michael's Mount.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-0cac7cc0,How is the feature known as Devil's Throat geographically connected to the area of Lizard via a multi-hop path involving Kynance and Kynance Cove?,"Devil's Throat is a feature of Kynance, which is near Lizard, and is part of Kynance Cove.",Devil's Throat is a feature of Kynance. Kynance is near Lizard. Devil's Throat is part of Kynance Cove.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-bbd22f83,Through which sequence of locations is Lizard Lights ultimately connected to Cornwall according to the narrative chains?,"Lizard Lights is near Housel Cove, which is near Lizard, which is near Kynance, but only Kynance Cove is stated to be in Cornwall.",Lizard Lights is near Housel Cove. Housel Cove is near Lizard. Lizard is near Kynance. Kynance Cove is stated to be in Cornwall.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-31203e12,What multi-step connection exists between John Curgenven and the launce fish as described in the subgraph chains?,John Curgenven is in a boat that ventures into a cave containing water that is home to fishes pursuing launce found at Lizard.,John Curgenven is in a boat. The boat ventures into a cave. The cave contains water. The water is home to fishes pursuing launce. The launce is found at Lizard.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-4d52d441,What reasoning path connects the Cornish coast to Devil's Throat in the narrative context?,"The Cornish coast has Kynance, which has the feature Devil's Throat.",The Cornish coast has Kynance. Kynance has the feature Devil's Throat.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-57a3172f,What reasoning path links the boat associated with John Curgenven to the fishes contained in water pursuing launce?,John Curgenven is in a boat that ventures into a cave with water containing fishes pursuing launce.,John Curgenven is in a boat. The boat ventures into a cave. The cave has water. The water contains fishes pursuing launce.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-2822d1b2,"What chain of reasoning connects launce, a type of fish, to Falmouth?","Launce is found at Lizard, which is near Falmouth.",Launce is found at Lizard. Lizard is near Falmouth.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-f021f0db,What is the multi-step relationship between Housel Cove and Kynance?,"Housel Cove is near Lizard, which is near Kynance, which is associated with Devil's Throat, part of Kynance Cove, located at Kynance.",Housel Cove is near Lizard. Lizard is near Kynance. Kynance is associated with Devil's Throat. Devil's Throat is part of Kynance Cove. Kynance Cove is located at Kynance.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-4581210b,How is King Arthur indirectly connected to Housel Cove through locations and comparisons?,"King Arthur was compared to John Curgenven, who showed Lizard Lights, which is near Housel Cove.",King Arthur was compared to John Curgenven. John Curgenven showed Lizard Lights. Lizard Lights is near Housel Cove.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-8a80ef8b,How is John Curgenven's boat journey connected to the launce fish and the area around Lizard?,"John Curgenven is in a boat that ventures into a cave with water containing fishes pursuing launce, which is found at Lizard.",John Curgenven is in a boat. John Curgenven's boat ventures into a cave. The cave contains water with fishes pursuing launce. Launce is found at Lizard.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-86890312,Through which multi-hop sequence does King Arthur's comparison to John Curgenven connect to Kynance Cove?,"King Arthur was compared to John Curgenven. Lizard Lights is near Housel Cove, near Lizard, near Kynance, which has Devil's Throat, part of Kynance Cove.",King Arthur was compared to John Curgenven. Lizard Lights is near Housel Cove. Housel Cove is near Lizard. Lizard is near Kynance. Kynance has a feature called Devil's Throat. Devil's Throat is part of Kynance Cove.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-95a177b7,How is the feature Devil's Throat contextually linked to Cornwall via a chain of locations?,"Devil's Throat is part of Kynance Cove, which is in Cornwall.",Devil's Throat is part of Kynance Cove. Kynance Cove is in Cornwall.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-6b231e0b,What is the connection between Kynance and Cornwall as established by the narrative chains?,"Kynance Cove, which includes Kynance and the feature Devil's Throat, is in Cornwall.",Kynance Cove includes Kynance. Kynance includes the feature Devil's Throat. Kynance Cove is in Cornwall.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-2cd5d08d,How does King Arthur's comparison to John Curgenven link to the Lizard region?,"King Arthur was compared to John Curgenven, who talked about Lizard Lights, which is near Housel Cove, near Lizard.",King Arthur was compared to John Curgenven. John Curgenven talked about Lizard Lights. Lizard Lights is near Housel Cove. Housel Cove is near Lizard.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-74d6c566,What route links Lizard Lights to Kynance Cove through physical features and locations?,"Lizard Lights is near Housel Cove, near Lizard, near Kynance, which has a feature called Devil's Throat, which is part of Kynance, which is located at Kynance Cove.",Lizard Lights is near Housel Cove. Housel Cove is near Lizard. Lizard is near Kynance. Kynance has a feature called Devil's Throat. Devil's Throat is part of Kynance. Kynance is located at Kynance Cove.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,-1,-1,
Novel-7f6df944,"Through a series of locations, how is Falmouth connected to Flushing in the context?",Falmouth is located near Flushing.,Falmouth is located near Flushing.,Novel-44557,novel,train,Complex Reasoning,2,Multi-hop,0,34,
Novel-ff793656,"In the narrative describing the group's visit to St. Michael's Mount in Cornwall, which notable historical or legendary figures—such as Sir John Arundel, Henry de la Pomeroy, the Giant Cormoran, and the St. Aubyn family—are connected to St. Michael's Mount, and what specific roles or events link them to this location?","Notable figures associated with St. Michael's Mount include Sir John Arundel, who was slain on its sands; Henry de la Pomeroy, who caused himself to be bled to death there; the Giant Cormoran, who lived on the Mount; and the St. Aubyns, who live on the Mount. Additionally, St. Michael's Mount is noted for its similarity to Mont St. Michel in Normandy.",Sir John Arundel is associated with St. Michael's Mount. Sir John Arundel was slain on the sands of St. Michael's Mount. Henry de la Pomeroy is associated with St. Michael's Mount. Henry de la Pomeroy caused himself to be bled to death on St. Michael's Mount. The Giant Cormoran lived on St. Michael's Mount. The St. Aubyn family lives on St. Michael's Mount. St. Michael's Mount is noted for its similarity to Mont St. Michel in Normandy.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-48edb564,"During the evening outing described in the novel, what significance does the sea and the cove hold for Charles and the young people as they embark on a boat ride to watch the sunset and moonrise, considering the vastness of the sea (which is said to have no other bound than America and is compared to the Mediterranean), the incoming tide at the cove, and Charles's observation that it was a fine evening for rowing?","The sea was described as having no other bound than America and was compared to the Mediterranean. The tide was coming in at the cove, where the young folks got into a boat and were heard of no more for a time. The boat was used to watch the sunset and moonrise on the sea, and Charles remarked it was a fine evening for a row on the sea.",The sea is described as having no other bound than America. The sea is compared to the Mediterranean. The tide was coming in at the cove. The young folks got into a boat at the cove. The young folks were heard of no more for a time after getting into the boat. The boat was used to watch the sunset on the sea. The boat was used to watch the moonrise on the sea. Charles remarked it was a fine evening for a row on the sea.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-296c7595,"According to the narrative's exploration of Cornish landmarks, what is the importance of Tintagel in the legend of King Arthur, and how is Tintagel Castle specifically associated with Arthur's birth and story?",Tintagel is traditionally considered the birthplace of King Arthur and is closely associated with his legend.,Tintagel is traditionally considered the birthplace of King Arthur. Tintagel is closely associated with the legend of King Arthur.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-e8019816,How is the Lizard related to Cornwall?,The Lizard is a village located in Cornwall.,The Lizard is a village. The Lizard is located in Cornwall.,Novel-44557,novel,train,Fact Retrieval,1,Extractive,-1,-1,
Novel-733f63f7,"Within the context of the group's travels along the Lizard coast in Cornwall, who is John Curgenven, and what role does he play as a Cornish boatman for the visitors exploring this region?",John Curgenven is a Cornish boatman who rows in the Lizard coast.,John Curgenven is a Cornish boatman. John Curgenven rows along the Lizard coast.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-2ab4a26d,"In the account of the group's journey through Cornwall, what is the significance of St. Michael's Mount as a location in England, how is it described as being similar to Mont St. Michel in Normandy, and what is the role of the St. Aubyn family in relation to owning the Mount?","St. Michael's Mount is located in England, is similar to Mont St. Michel in Normandy, and is owned by St. Aubyns.",St. Michael's Mount is located in England. St. Michael's Mount is similar to Mont St. Michel in Normandy. St. Michael's Mount is owned by the St. Aubyn family.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-f24f442f,"Based on the descriptions throughout the narrative, what are some of the cultural traditions and unique aspects of Cornwall, such as the use of the Cornish language on Goonhilly Down, the celebration of Cornish heroes at Tintagel, the belief that Cornish cream can only be made from Cornish cows, and the local legend of the Cornish chough haunting Cornwall?","Cornish has a language associated with Goonhilly Down, Cornish heroes were held at Tintagel, Cornish cream can only be made from Cornish cows, and the Cornish chough is said to haunt Cornwall.",Cornish is a language associated with Goonhilly Down. Cornish heroes are celebrated at Tintagel. Cornish cream can only be made from Cornish cows. The Cornish chough is said to haunt Cornwall.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-3b90994e,"In the context of Arthurian legend as presented in the narrative, what specific narrative connections are established between King Arthur, Sir Bedevere, and the legendary sword Excalibur—particularly regarding Sir Bedevere's role in carrying Arthur and ultimately throwing Excalibur into Dozmare Pool?","Sir Bedevere is closely linked to King Arthur, carrying him and eventually throwing Excalibur into Dozmare Pool, reinforcing the narrative bond between these characters and the legendary sword.",Sir Bedevere is closely linked to King Arthur. Sir Bedevere carried King Arthur. Sir Bedevere threw Excalibur into Dozmare Pool. The actions of Sir Bedevere reinforce the narrative bond between him and King Arthur. The actions of Sir Bedevere reinforce the narrative bond between him and Excalibur.,Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
Novel-613d4e81,"How does the narrative illustrate the interplay between Cornwall's geography—including locations such as the Lizard, Kynance, and Dozmare Pool—and the exposition of Arthurian legend, by linking figures like Arthur, Sir Bedevere, and the casting of Excalibur into these Cornish sites?","Cornwall's geography, including sites such as Lizard, Kynance, and Dozmare Pool, is integrated into the exposition of Arthurian legend, with Arthur, Sir Bedevere, and Excalibur woven into these locations' narratives.","Cornwall's geography includes sites such as Lizard, Kynance, and Dozmare Pool. Cornwall's geography is integrated into the exposition of Arthurian legend. Arthur is linked to the locations of Lizard, Kynance, and Dozmare Pool. Sir Bedevere is linked to the locations of Lizard, Kynance, and Dozmare Pool. Excalibur is linked to the locations of Lizard, Kynance, and Dozmare Pool.",Novel-44557,novel,train,Contextual Summarize,1,Summarization,-1,-1,
